[13:06:15] [ServerMain/INFO]: Building unoptimized datafixer
[13:06:17] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[13:06:17] [ServerMain/INFO]: Found new data pack file/bukkit, loading it automatically
[13:06:20] [ServerMain/INFO]: Loaded 7 recipes
[13:06:23] [Server thread/INFO]: Starting minecraft server version 1.19
[13:06:23] [Server thread/INFO]: Loading properties
[13:06:23] [Server thread/INFO]: Default game type: SURVIVAL
[13:06:23] [Server thread/INFO]: Generating keypair
[13:06:24] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:06:24] [Server thread/INFO]: Using epoll channel type
[13:06:24] [Server thread/INFO]: This server is running CraftBukkit version 3551-Bukkit-9a8e080 (MC: 1.19) (Implementing API version 1.19-R0.1-SNAPSHOT)
[13:06:24] [Server thread/INFO]: Preparing level "world"
[13:06:55] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[13:06:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:06:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:06:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:06:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:06:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:06:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:06:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:06:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:06:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:07:00] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:07:00] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[13:07:01] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[13:07:01] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[13:07:02] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[13:07:02] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[13:07:03] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[13:07:03] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[13:07:04] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[13:07:04] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[13:07:05] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[13:07:05] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[13:07:06] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[13:07:06] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[13:07:07] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[13:07:07] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[13:07:08] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[13:07:08] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[13:07:09] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[13:07:09] [Worker-Main-1/INFO]: Preparing spawn area: 11%
[13:07:10] [Worker-Main-1/INFO]: Preparing spawn area: 11%
[13:07:10] [Worker-Main-3/INFO]: Preparing spawn area: 11%
[13:07:11] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[13:07:11] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[13:07:12] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[13:07:12] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[13:07:13] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[13:07:14] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[13:07:14] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[13:07:14] [Worker-Main-3/INFO]: Preparing spawn area: 18%
[13:07:15] [Worker-Main-3/INFO]: Preparing spawn area: 19%
[13:07:15] [Worker-Main-1/INFO]: Preparing spawn area: 20%
[13:07:16] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[13:07:16] [Worker-Main-2/INFO]: Preparing spawn area: 21%
[13:07:17] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[13:07:17] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[13:07:18] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[13:07:18] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[13:07:19] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[13:07:19] [Worker-Main-3/INFO]: Preparing spawn area: 25%
[13:07:20] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[13:07:20] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[13:07:21] [Worker-Main-1/INFO]: Preparing spawn area: 28%
[13:07:21] [Worker-Main-1/INFO]: Preparing spawn area: 29%
[13:07:22] [Worker-Main-3/INFO]: Preparing spawn area: 30%
[13:07:22] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[13:07:23] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[13:07:23] [Worker-Main-3/INFO]: Preparing spawn area: 33%
[13:07:24] [Worker-Main-3/INFO]: Preparing spawn area: 33%
[13:07:24] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[13:07:25] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[13:07:25] [Worker-Main-3/INFO]: Preparing spawn area: 36%
[13:07:26] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[13:07:26] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[13:07:27] [Worker-Main-1/INFO]: Preparing spawn area: 38%
[13:07:27] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[13:07:28] [Worker-Main-3/INFO]: Preparing spawn area: 40%
[13:07:28] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[13:07:29] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[13:07:29] [Worker-Main-3/INFO]: Preparing spawn area: 43%
[13:07:30] [Worker-Main-1/INFO]: Preparing spawn area: 44%
[13:07:30] [Worker-Main-1/INFO]: Preparing spawn area: 44%
[13:07:31] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[13:07:31] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[13:07:32] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[13:07:32] [Worker-Main-1/INFO]: Preparing spawn area: 48%
[13:07:33] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[13:07:33] [Worker-Main-1/INFO]: Preparing spawn area: 50%
[13:07:34] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[13:07:35] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[13:07:35] [Worker-Main-3/INFO]: Preparing spawn area: 53%
[13:07:35] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[13:07:36] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[13:07:36] [Worker-Main-1/INFO]: Preparing spawn area: 55%
[13:07:37] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[13:07:37] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[13:07:38] [Worker-Main-3/INFO]: Preparing spawn area: 58%
[13:07:38] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[13:07:39] [Worker-Main-1/INFO]: Preparing spawn area: 59%
[13:07:39] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[13:07:40] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[13:07:40] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[13:07:41] [Worker-Main-3/INFO]: Preparing spawn area: 63%
[13:07:41] [Worker-Main-1/INFO]: Preparing spawn area: 65%
[13:07:42] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[13:07:42] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[13:07:43] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[13:07:43] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[13:07:44] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[13:07:44] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[13:07:45] [Worker-Main-1/INFO]: Preparing spawn area: 70%
[13:07:45] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[13:07:46] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[13:07:46] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[13:07:47] [Worker-Main-2/INFO]: Preparing spawn area: 74%
[13:07:47] [Worker-Main-3/INFO]: Preparing spawn area: 75%
[13:07:48] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[13:07:48] [Worker-Main-3/INFO]: Preparing spawn area: 78%
[13:07:49] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[13:07:49] [Worker-Main-1/INFO]: Preparing spawn area: 81%
[13:07:50] [Worker-Main-1/INFO]: Preparing spawn area: 82%
[13:07:50] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[13:07:51] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[13:07:51] [Worker-Main-3/INFO]: Preparing spawn area: 84%
[13:07:52] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[13:07:52] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[13:07:53] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[13:07:53] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[13:07:54] [Worker-Main-3/INFO]: Preparing spawn area: 89%
[13:07:54] [Worker-Main-3/INFO]: Preparing spawn area: 90%
[13:07:55] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[13:07:55] [Worker-Main-3/INFO]: Preparing spawn area: 93%
[13:07:56] [Worker-Main-1/INFO]: Preparing spawn area: 93%
[13:07:56] [Worker-Main-3/INFO]: Preparing spawn area: 95%
